LGA,lga_pid,population,active,cases,rate,new,band,LGADisplay,data_date,file_processed_date
Alpine (S),VIC242,12814,33,672,257.5,3,5,Alpine,03/02/2022,2022-02-04
Ararat (RC),VIC220,11845,30,590,253.3,6,5,Ararat,03/02/2022,2022-02-04
Ballarat (C),VIC241,109505,484,6000,442,81,5,Ballarat,03/02/2022,2022-02-04
Banyule (C),VIC188,131631,509,10268,386.7,81,5,Banyule,03/02/2022,2022-02-04
Bass Coast (S),VIC173,36320,145,2179,399.2,14,5,Bass Coast,03/02/2022,2022-02-04
Baw Baw (S),VIC194,53396,259,3635,485.1,41,5,Baw Baw,03/02/2022,2022-02-04
Bayside (C),VIC182,106862,397,9515,371.5,38,5,Bayside,03/02/2022,2022-02-04
Benalla (RC),VIC199,14037,24,490,171,3,4,Benalla,03/02/2022,2022-02-04
Boroondara (C),VIC201,183199,412,12320,224.9,52,5,Boroondara,03/02/2022,2022-02-04
Brimbank (C),VIC189,209523,987,29895,471.1,130,5,Brimbank,03/02/2022,2022-02-04
Buloke (S),VIC183,6124,16,216,261.3,0,5,Buloke,03/02/2022,2022-02-04
Campaspe (S),VIC239,37622,37,1531,98.3,2,3,Campaspe,03/02/2022,2022-02-04
Cardinia (S),VIC212,112159,615,8944,548.3,96,6,Cardinia,03/02/2022,2022-02-04
Casey (C),VIC213,353872,1365,37159,385.7,217,5,Casey,03/02/2022,2022-02-04
Central Goldfields (S),VIC169,13186,21,328,159.3,1,4,Central Goldfields,03/02/2022,2022-02-04
Colac-Otway (S),VIC224,21564,58,1093,269,8,5,Colac-Otway,03/02/2022,2022-02-04
Corangamite (S),VIC231,16020,34,694,212.2,2,5,Corangamite,03/02/2022,2022-02-04
Darebin (C),VIC205,164184,688,15851,419,87,5,Darebin,03/02/2022,2022-02-04
East Gippsland (S),VIC243,47316,66,1771,139.5,14,4,East Gippsland,03/02/2022,2022-02-04
Frankston (C),VIC227,142643,390,10376,273.4,49,5,Frankston,03/02/2022,2022-02-04
Gannawarra (S),VIC214,10472,24,281,229.2,2,5,Gannawarra,03/02/2022,2022-02-04
Glen Eira (C),VIC177,156511,677,14066,432.6,90,5,Glen Eira,03/02/2022,2022-02-04
Glenelg (S),VIC223,19674,14,663,71.2,2,3,Glenelg,03/02/2022,2022-02-04
Golden Plains (S),VIC230,23722,124,1017,522.7,20,6,Golden Plains,03/02/2022,2022-02-04
Greater Bendigo (C),VIC193,118093,412,5443,348.9,46,5,Greater Bendigo,03/02/2022,2022-02-04
Greater Dandenong (C),VIC247,168201,499,19116,296.7,54,5,Greater Dandenong,03/02/2022,2022-02-04
Greater Geelong (C),VIC215,258934,1135,17061,438.3,170,5,Greater Geelong,03/02/2022,2022-02-04
Greater Shepparton (C),VIC93,66498,225,5332,338.4,54,5,Greater Shepparton,03/02/2022,2022-02-04
Hepburn (S),VIC94,15975,32,552,200.3,1,5,Hepburn,03/02/2022,2022-02-04
Hindmarsh (S),VIC152,5588,16,240,286.3,0,5,Hindmarsh,03/02/2022,2022-02-04
Hobsons Bay (C),VIC235,97751,402,9102,411.2,63,5,Hobsons Bay,03/02/2022,2022-02-04
Horsham (RC),VIC153,19921,56,824,281.1,2,5,Horsham,03/02/2022,2022-02-04
Hume (C),VIC198,233471,1495,38291,640.3,225,6,Hume,03/02/2022,2022-02-04
Indigo (S),VIC191,16701,25,627,149.7,4,4,Indigo,03/02/2022,2022-02-04
Interstate,,,121,3493,0,35,0,,03/02/2022,2022-02-04
Kingston (C),VIC226,165782,419,13226,252.7,64,5,Kingston,03/02/2022,2022-02-04
Knox (C),VIC209,164538,548,9426,333.1,101,5,Knox,03/02/2022,2022-02-04
Latrobe (C),VIC219,75561,317,5109,419.5,49,5,Latrobe,03/02/2022,2022-02-04
Loddon (S),VIC185,7504,18,169,239.9,2,5,Loddon,03/02/2022,2022-02-04
Macedon Ranges (S),VIC228,50231,108,2750,215,11,5,Macedon Ranges,03/02/2022,2022-02-04
Manningham (C),VIC195,127573,473,9819,370.8,58,5,Manningham,03/02/2022,2022-02-04
Mansfield (S),VIC244,9176,32,421,348.7,9,5,Mansfield,03/02/2022,2022-02-04
Maribyrnong (C),VIC234,93448,410,11248,438.7,52,5,Maribyrnong,03/02/2022,2022-02-04
Maroondah (C),VIC207,118558,485,7352,409.1,75,5,Maroondah,03/02/2022,2022-02-04
Melbourne (C),VIC132,178955,594,21921,331.9,87,5,Melbourne,03/02/2022,2022-02-04
Melton (C),VIC237,164895,997,25935,604.6,132,6,Melton,03/02/2022,2022-02-04
Mildura (RC),VIC222,55777,214,3428,383.7,43,5,Mildura,03/02/2022,2022-02-04
Mitchell (S),VIC211,46082,154,2965,334.2,22,5,Mitchell,03/02/2022,2022-02-04
Moira (S),VIC190,29925,69,1850,230.6,10,5,Moira,03/02/2022,2022-02-04
Monash (C),VIC210,202847,506,13719,249.4,79,5,Monash,03/02/2022,2022-02-04
Moonee Valley (C),VIC121,130294,543,14263,416.7,63,5,Moonee Valley,03/02/2022,2022-02-04
Moorabool (S),VIC236,35049,192,2749,547.8,29,6,Moorabool,03/02/2022,2022-02-04
Moreland (C),VIC131,185767,831,21915,447.3,111,5,Moreland,03/02/2022,2022-02-04
Mornington Peninsula (S),VIC204,167636,592,11896,353.1,98,5,Mornington Peninsula,03/02/2022,2022-02-04
Mount Alexander (S),VIC105,19754,44,774,222.7,1,5,Mount Alexander,03/02/2022,2022-02-04
Moyne (S),VIC229,16953,32,786,188.8,3,4,Moyne,03/02/2022,2022-02-04
Murrindindi (S),VIC250,14570,30,554,205.9,6,5,Murrindindi,03/02/2022,2022-02-04
Nillumbik (S),VIC216,65094,264,4504,405.6,50,5,Nillumbik,03/02/2022,2022-02-04
Northern Grampians (S),VIC166,11402,55,592,482.4,8,5,Northern Grampians,03/02/2022,2022-02-04
Overseas,,,3,75,0,1,0,,03/02/2022,2022-02-04
Overseas Traveller,,,0,621,0,0,0,,03/02/2022,2022-02-04
Port Phillip (C),VIC208,115601,408,12892,352.9,57,5,Port Phillip,03/02/2022,2022-02-04
Pyrenees (S),VIC217,7472,36,279,481.8,1,5,Pyrenees,03/02/2022,2022-02-04
Queenscliffe (B),VIC238,2940,15,214,510.2,2,6,Queenscliffe,03/02/2022,2022-02-04
South Gippsland (S),VIC178,29914,100,1228,334.3,17,5,South Gippsland,03/02/2022,2022-02-04
Southern Grampians (S),VIC233,16100,94,857,583.9,11,6,Southern Grampians,03/02/2022,2022-02-04
Stonnington (C),VIC203,117768,282,11446,239.5,46,5,Stonnington,03/02/2022,2022-02-04
Strathbogie (S),VIC110,10781,18,394,167,8,4,Strathbogie,03/02/2022,2022-02-04
Surf Coast (S),VIC225,33456,153,2285,457.3,21,5,Surf Coast,03/02/2022,2022-02-04
Swan Hill (RC),VIC180,20649,32,1122,155,5,4,Swan Hill,03/02/2022,2022-02-04
Towong (S),VIC187,6040,7,156,115.9,3,4,Towong,03/02/2022,2022-02-04
Unincorporated Vic,,,1,36,0,0,0,,03/02/2022,2022-02-04
Unknown,,,160,4335,0,46,0,,03/02/2022,2022-02-04
Wangaratta (RC),VIC186,29187,86,1341,294.7,16,5,Wangaratta,03/02/2022,2022-02-04
Warrnambool (C),VIC179,35181,91,2288,258.7,8,5,Warrnambool,03/02/2022,2022-02-04
Wellington (S),VIC218,44380,122,1745,274.9,23,5,Wellington,03/02/2022,2022-02-04
West Wimmera (S),VIC232,3841,5,79,130.2,1,4,West Wimmera,03/02/2022,2022-02-04
Whitehorse (C),VIC196,178739,531,10067,297.1,89,5,Whitehorse,03/02/2022,2022-02-04
Whittlesea (C),VIC197,230238,1573,28543,683.2,248,6,Whittlesea,03/02/2022,2022-02-04
Wodonga (C),VIC192,42083,127,2390,301.8,20,5,Wodonga,03/02/2022,2022-02-04
Wyndham (C),VIC221,270487,1877,36719,693.9,254,6,Wyndham,03/02/2022,2022-02-04
Yarra (C),VIC202,101495,283,11550,278.8,50,5,Yarra,03/02/2022,2022-02-04
Yarra Ranges (S),VIC206,159462,628,9314,393.8,104,5,Yarra Ranges,03/02/2022,2022-02-04
Yarriambiack (S),VIC200,6639,23,157,346.4,2,5,Yarriambiack,03/02/2022,2022-02-04
