postcode,population,active,cases,rate,new,band,data_date,file_processed_date
3097,1443,3,81,207.9,1,5,03/02/2022,2022-02-04
3099,4877,24,341,492.1,7,5,03/02/2022,2022-02-04
3101,24604,58,1950,235.7,5,5,03/02/2022,2022-02-04
3102,6634,14,557,211,0,5,03/02/2022,2022-02-04
3103,15343,28,908,182.5,4,4,03/02/2022,2022-02-04
3104,20404,75,1510,367.6,10,5,03/02/2022,2022-02-04
3105,10877,51,1139,468.9,8,5,03/02/2022,2022-02-04
3106,16620,53,1351,318.9,3,5,03/02/2022,2022-02-04
3107,13557,60,1174,442.6,10,5,03/02/2022,2022-02-04
3108,20823,93,2105,446.6,10,5,03/02/2022,2022-02-04
3109,28357,120,2188,423.2,15,5,03/02/2022,2022-02-04
3111,12348,42,912,340.1,7,5,03/02/2022,2022-02-04
3113,8460,42,670,496.5,6,5,03/02/2022,2022-02-04
3114,3823,13,272,340,2,5,03/02/2022,2022-02-04
3115,3799,14,254,368.5,1,5,03/02/2022,2022-02-04
3116,9872,50,733,506.5,5,6,03/02/2022,2022-02-04
3121,30502,100,4308,327.8,17,5,03/02/2022,2022-02-04
3122,23508,56,1955,238.2,8,5,03/02/2022,2022-02-04
3123,14319,42,1269,293.3,6,5,03/02/2022,2022-02-04
3124,22091,52,1551,235.4,9,5,03/02/2022,2022-02-04
3125,15021,40,1088,266.3,4,5,03/02/2022,2022-02-04
3126,8060,17,466,210.9,2,5,03/02/2022,2022-02-04
3127,18445,34,1128,184.3,3,4,03/02/2022,2022-02-04
3128,19832,64,1439,322.7,12,5,03/02/2022,2022-02-04
3129,17374,76,1197,437.4,12,5,03/02/2022,2022-02-04
3130,32171,100,1934,310.8,26,5,03/02/2022,2022-02-04
3131,22499,82,1335,364.5,12,5,03/02/2022,2022-02-04
3132,16148,63,988,390.1,5,5,03/02/2022,2022-02-04
3133,22119,71,1176,321,8,5,03/02/2022,2022-02-04
3134,32782,137,2240,417.9,18,5,03/02/2022,2022-02-04
3135,19954,80,1298,400.9,7,5,03/02/2022,2022-02-04
3136,44373,186,2913,419.2,35,5,03/02/2022,2022-02-04
3137,13872,89,1099,641.6,13,6,03/02/2022,2022-02-04
